t=0.0 q=-0.00000 tip=0.600 pan=2.400 inside=0 crossed=0 gate=0.000 prop=0.0167 work=0.00/0.00
t=1.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=0.000 prop=0.0167 work=0.00/0.00
t=2.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=0.000 prop=0.0167 work=0.00/0.00
t=3.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=0.000 prop=0.0167 work=0.00/0.00
t=4.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=5.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=6.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=7.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=8.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=9.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=10.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=11.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=12.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=13.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=14.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=0.0167 work=41.52/0.00
t=15.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-0.3451 work=41.52/42.00
t=16.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=17.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=18.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=19.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=20.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=21.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=22.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=23.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=24.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=25.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=26.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=27.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=28.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=29.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=30.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=31.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=32.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=33.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=34.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=35.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=36.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=37.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=38.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=39.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=40.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=41.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=42.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=43.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
t=44.0 q=-0.00103 tip=0.579 pan=2.405 inside=0 crossed=0 gate=-0.000 prop=-1.1513 work=41.52/42.00
RESULT {"hz":360,"mode":3,"all_loaded_s":-1.000000,"bridge_deadcentre_s":14.247222,"pan_y_before_release":2.405129,"tip_end":0.579488,"tip_max":0.600000,"retained_min_after_release":0,"hinge_drift_max":0.000031458,"pan_pitch_max":0.000005612,"rack_work_J":41.520309,"bridge_work_J":42.000031,"rack_stroke_m":0.276802,"bridge_stroke_m":0.280132,"plastic_work_J":0.000000,"hinge_friction_work_J":33.356568,"max_penetration":0.000000,"mechanical_release_J":2392.714056,"kinetic_end_J":0.000052}
